Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
2,female,36,1,0,3.295836866004329,S
3,female,29,0,4,3.0944457464900235,S
1,male,48,0,0,3.3160025355989236,S
1,female,18,2,2,5.5735788721243535,C
3,female,31,1,0,2.9444389791664403,S
2,male,19,0,0,2.6390573296152584,S
2,male,30,0,0,2.686571169425086,S
1,male,36,0,0,3.3100867049215847,S
1,male,27,0,0,4.353230991152628,C
3,male,65,0,0,2.169053700369523,Q
3,male,24,0,0,2.174274334826008,S
3,female,31,1,1,3.0692150503137943,S
3,male,22,1,0,2.1102132003465894,S
2,male,47,0,0,2.772588722239781,S
1,male,45,0,0,3.597312260588446,S
3,male,9,4,2,3.4777725458882283,S
1,male,71,0,0,3.922056501139853,C
3,male,20,0,0,2.3837779082709782,S
1,male,71,0,0,3.57386695198272,C
1,male,43,0,0,3.597312260588446,S
3,male,23,0,0,2.3248357019288655,S
3,female,14,1,0,2.5048481563289,C
3,male,26,0,0,2.1071782966514356,C
3,male,25,0,0,2.1855792552411137,S
2,male,25,1,0,3.295836866004329,S
3,male,26,0,0,2.2027647577118348,S
1,female,31,1,0,4.738607824217808,C
1,male,43,0,0,3.449987545831587,S
3,male,18,1,0,2.0143428636837015,S
3,male,26,0,0,2.740840023925201,S
2,male,25,0,0,2.6390573296152584,S
2,female,8,0,2,3.305053521109253,S
3,female,22,0,0,2.1102132003465894,S
1,female,23,3,2,5.575949103146316,S
1,female,21,0,0,4.368919865004903,S
2,male,23,2,1,2.5257286443082556,S
1,female,16,0,1,3.6988297849671046,S
1,female,58,0,1,5.039951348430309,S
3,female,18,2,0,2.9444389791664403,S
3,male,56,0,0,2.2027647577118348,S
3,female,30,0,0,2.600836116795061,S
3,male,32,0,0,2.2027647577118348,S
3,female,22,1,0,2.803360380906535,Q
3,male,30,0,0,2.2027647577118348,S
2,female,24,0,0,2.6390573296152584,S
1,male,56,0,0,3.4561841799918147,C
3,male,28,0,0,2.174274334826008,S
2,female,33,0,2,3.295836866004329,S
3,female,32,1,1,2.803360380906535,Q
3,female,8,3,1,3.0944457464900235,S
2,female,40,0,0,2.8183982582710754,S
3,male,29,0,0,2.3497835148230464,S
3,female,2,4,2,3.4742929367327062,S
2,female,5,1,2,3.3586377672433594,S
1,male,52,1,1,4.390118804571218,S
2,male,62,0,0,2.4423470353692043,S
1,male,43,0,0,3.2930552230424524,S
3,male,29,0,0,2.3513752571634776,S
1,male,19,1,0,3.9908341858524357,S
3,male,4,1,1,2.495953738718064,S
2,male,27,0,0,2.6390573296152584,S
1,male,46,0,0,4.384523514872469,C
3,male,26,0,0,2.1719067693519296,S
3,male,18,0,0,2.1719067693519296,S
1,female,15,0,1,5.35817698994543,S
1,male,28,0,0,3.8732821771117156,S
1,male,46,1,0,4.1299529896894684,S
3,male,26,2,0,3.188416617383492,Q
3,female,22,0,0,2.1071782966514356,C
1,female,39,1,1,4.390118804571218,S
1,male,43,0,0,3.9318256327243257,S
3,male,20,0,0,2.1102132003465894,S
1,male,40,0,0,3.4657359027997265,C
3,male,16,2,0,2.9444389791664403,S
1,male,27,0,0,3.449987545831587,S
1,male,43,0,0,5.406181146423973,S
3,male,29,0,0,2.1719067693519296,S
3,male,28,0,0,3.1580636854714434,S
3,male,26,0,0,2.169053700369523,Q
2,male,43,1,1,3.305053521109253,S
3,male,47,0,0,2.302585092994046,S
2,male,27,0,0,3.295836866004329,S
2,male,19,0,0,2.4423470353692043,S
1,male,37,1,0,3.9908341858524357,S
3,female,38,1,5,3.4777725458882283,S
3,male,19,0,0,2.4133032309283076,S
3,female,18,0,0,2.139571923732859,S
2,male,2,1,1,3.295836866004329,S
1,female,38,0,0,4.394449154672439,C
1,female,17,1,0,4.699570861409576,C
3,male,26,0,0,2.2682524139135403,S
1,female,44,0,1,4.077184839375167,C
3,male,38,0,0,2.2682524139135403,S
2,male,30,0,0,2.6390573296152584,S
3,male,19,0,0,2.2146605719425225,S
3,male,26,0,0,2.169053700369523,Q
3,female,18,0,0,2.0476928433652555,Q
3,male,22,0,0,2.2027647577118348,S
3,female,48,1,3,3.5660053559634015,S
2,female,4,2,1,3.6888794541139363,S
2,female,34,0,0,2.4423470353692043,S
1,female,52,1,1,4.548599834499697,S
1,male,21,0,1,4.360387947851531,S
3,female,22,0,0,2.2027647577118348,S
2,male,23,0,0,2.6390573296152584,S
1,male,58,0,0,3.4242626545931514,C
2,female,23,0,0,2.694066212646058,C
3,male,19,0,0,2.1855792552411137,S
2,female,4,1,1,3.1780538303479458,S
1,female,19,1,0,4.5226490762785785,C
1,male,40,0,0,3.7921127087555884,S
3,female,29,1,1,2.4390808375825834,S
3,male,36,1,0,2.806386101823072,S
3,male,16,1,1,3.056356895370426,S
3,male,18,0,0,2.174274334826008,S
1,female,38,1,0,4.2805931204649,C
2,male,8,1,1,3.6309854756950335,S
1,female,33,1,0,4.420896324687287,C
2,male,1,1,1,2.9831534913471307,S
1,male,31,1,0,3.970291913552122,S
3,female,22,0,0,2.1076888046179385,C
3,female,21,1,0,2.3818582738885534,S
1,female,38,0,0,5.4316456135398825,C
3,female,26,0,0,2.188856327665703,S
3,male,26,0,0,2.2027647577118348,S
2,female,7,0,2,3.305053521109253,S
1,female,54,1,0,4.37281811610993,C
1,female,29,0,0,5.35817698994543,S
3,male,1,1,2,3.0715352369694915,S
1,male,43,0,0,3.295836866004329,S
2,female,35,0,0,3.091042453358316,S
3,male,26,0,0,2.1855792552411137,S
1,male,48,1,0,4.353230991152628,C
3,male,21,0,0,2.188856327665703,S
3,male,22,0,0,2.1855792552411137,S
2,male,30,0,0,2.686571169425086,S
3,female,24,1,0,2.8243506567983707,S
1,female,33,1,0,4.51085950651685,Q
3,female,19,1,0,2.180891922715322,S
3,female,15,0,0,2.1071782966514356,C
3,male,26,0,0,2.2027647577118348,S
3,female,22,3,1,3.275887339030031,S
1,male,39,0,0,3.7921127087555884,S
2,male,42,1,0,3.332204510175204,S
3,male,49,0,0,2.2027647577118348,S
3,male,26,0,0,2.1177604059819726,S
1,male,28,0,0,3.3160025355989236,S
3,male,28,1,0,2.8243506567983707,S
2,male,30,0,0,2.775708849576025,C
3,male,26,0,0,2.1855792552411137,S
3,male,11,0,0,2.9850504252071306,C
3,male,32,0,0,4.05171190165724,S
3,male,44,0,0,2.188856327665703,S
1,female,14,1,2,4.795790545596741,S
1,male,26,0,0,3.4339872044851463,C
1,male,61,0,0,3.5061818266142577,S
3,male,20,0,0,2.180891922715322,S
3,female,5,4,2,3.4777725458882283,S
2,male,35,0,0,3.295836866004329,S
3,male,26,0,0,2.740840023925201,S
3,male,26,1,2,3.196630215920881,S
1,female,40,0,0,5.039951348430309,S
3,male,26,0,0,2.2027647577118348,S
1,male,40,0,0,3.357621598945279,C
1,female,26,0,0,4.380149874661021,S
1,male,62,0,0,3.3160025355989236,S
3,male,26,2,0,2.2682524139135403,S
3,male,26,0,0,2.2027647577118348,S
3,female,17,0,0,2.738146075922933,C
3,male,33,1,1,3.0692150503137943,S
3,male,20,0,0,2.180891922715322,S
3,male,38,0,0,2.0856720914304723,S
3,female,45,1,4,3.3638415951183864,S
2,male,3,1,1,2.9831534913471307,S
3,male,34,1,1,2.7343675094195836,S
3,male,22,0,0,2.1102132003465894,S
3,male,43,0,0,2.0082140323914683,S
1,female,18,0,2,4.390118804571218,S
3,male,26,0,0,2.2027647577118348,S
3,male,26,1,0,2.180891922715322,S
3,male,19,0,0,2.1855792552411137,S
3,male,26,0,0,2.1076888046179385,C
3,male,26,0,0,2.1071782966514356,C
1,male,31,1,0,4.060443010546419,S
1,female,30,0,0,4.471638793363569,S
3,female,29,0,2,2.7878344138303452,C
2,male,35,0,0,2.4423470353692043,S
2,male,39,0,0,3.295836866004329,S
3,male,26,0,0,2.7788192719904172,S
3,male,33,0,0,2.1855792552411137,C
3,female,28,0,0,2.1855792552411137,S
3,male,4,4,1,3.405355391810819,Q
3,male,26,0,0,2.1076888046179385,C
3,female,18,0,1,2.737880811060884,C
3,female,5,0,0,2.600836116795061,S
1,male,49,1,0,4.500966778400217,C
3,male,4,4,2,3.4742929367327062,S
2,male,24,2,0,4.310799125385514,S
2,female,57,0,0,2.4423470353692043,S
3,male,28,0,0,2.3513752571634776,S
3,male,34,0,0,2.0143428636837015,S
1,male,48,1,0,3.970291913552122,S
1,male,50,2,0,4.902678819257608,S
3,male,29,0,0,2.1855792552411137,C
1,male,43,0,0,3.7921127087555884,S
1,female,19,0,2,3.3062747934011893,S
1,female,30,0,0,4.548599834499697,S
1,male,58,0,2,4.738607824217808,C
3,male,32,0,0,2.180891922715322,S
3,male,20,0,0,1.6119347926326877,C
2,female,45,0,0,2.6741486494265287,S
1,male,43,0,0,3.4657359027997265,S
3,male,30,0,0,2.1855792552411137,S
3,male,4,3,2,3.3638415951183864,S
1,female,23,1,0,4.738607824217808,C
2,male,32,0,0,2.4423470353692043,S
3,female,30,0,0,2.2682524139135403,S
3,male,25,0,0,2.2027647577118348,S
2,male,32,1,0,3.295836866004329,S
3,male,44,0,1,2.8390784635086144,S
3,male,26,0,0,2.169053700369523,Q
3,male,28,0,0,4.05171190165724,S
3,male,26,0,0,2.1076888046179385,C
3,male,22,0,0,2.094945728215801,S
3,female,22,0,0,2.1733302571367834,Q
3,male,26,0,0,2.169053700369523,Q
3,male,19,0,0,2.2027647577118348,S
3,female,15,0,0,2.2004637699272855,Q
1,female,41,0,0,4.908971640319756,C
2,male,30,1,0,3.2188758248682006,C
3,female,22,8,2,4.256321678298823,S
3,male,6,0,1,2.600836116795061,S
1,male,43,0,0,3.3160025355989236,S
3,male,16,0,0,2.2027647577118348,S
3,male,39,1,5,3.4742929367327062,S
1,female,45,1,1,5.11118445372147,S
2,male,70,0,0,2.4423470353692043,S
3,male,26,0,0,2.2734137156937657,C
3,male,26,0,0,2.2027647577118348,S
1,female,50,0,0,3.391567832686312,C
3,female,45,0,0,2.169053700369523,S
2,male,30,0,0,2.6988412620169004,C
3,male,33,0,0,2.1719067693519296,S
2,male,34,1,0,3.091042453358316,S
3,male,22,0,0,2.336986519711378,S
1,male,32,0,0,3.449987545831587,C
3,female,27,0,0,2.188856327665703,S
3,male,26,0,0,2.1855792552411137,S
1,female,18,1,0,5.4316456135398825,C
2,male,34,0,0,2.6390573296152584,S
3,female,22,8,2,4.256321678298823,S
1,male,70,1,1,4.276666119016055,S
3,male,26,0,0,2.169053700369523,Q
3,male,10,3,2,3.3638415951183864,S
3,female,18,0,0,2.3833998102837652,S
3,female,41,0,5,3.705920919968788,S
1,female,47,1,1,3.9806942251907276,S
3,female,22,0,0,2.3830123421066602,S
3,female,22,0,0,2.169053700369523,Q
1,male,43,0,0,3.357621598945279,C
1,male,38,0,0,3.7921127087555884,S
3,male,26,1,0,2.169053700369523,Q
3,male,32,0,0,4.05171190165724,S
3,male,27,0,0,2.2682524139135403,S
3,male,18,1,1,2.180891922715322,S
2,male,23,0,0,2.4423470353692043,S
3,female,1,1,1,2.495953738718064,S
1,male,38,0,1,5.039951348430309,S
3,female,22,0,0,2.169053700369523,Q
1,female,33,1,0,4.993969182787072,C
3,male,31,0,0,2.188856327665703,S
3,female,22,0,0,2.145931282948669,S
3,female,3,3,1,3.0944457464900235,S
2,male,46,0,0,3.295836866004329,S
3,male,21,0,0,2.1719067693519296,S
3,male,42,0,0,2.157559320943788,S
2,male,25,1,2,3.7513658711253766,C
2,male,30,0,0,2.6390573296152584,S
2,female,17,0,0,2.5649493574615367,C
2,female,44,1,0,3.295836866004329,S
1,male,43,0,0,3.7921127087555884,S
1,male,17,0,2,4.717456363787216,C
2,male,36,0,0,2.4423470353692043,S
3,male,26,8,2,4.256321678298823,S
3,female,14,0,0,2.180891922715322,S
3,male,59,0,0,2.1102132003465894,S
3,male,39,0,0,2.188856327665703,S
3,male,21,0,0,2.174274334826008,S
3,female,25,1,0,2.188856327665703,S
2,female,31,1,1,3.305053521109253,S
2,male,1,0,2,3.4011973816621555,S
3,male,44,0,0,2.2027647577118348,S
2,female,36,0,0,2.6390573296152584,S
2,male,1,2,1,3.6888794541139363,S
1,male,52,0,0,3.449987545831587,S
1,female,42,0,0,5.4316456135398825,C
3,male,21,0,0,2.1102132003465894,S
1,female,43,0,1,5.35817698994543,S
2,female,32,0,0,2.6390573296152584,S
1,female,56,0,1,4.432699549165613,C
1,male,42,1,0,3.9806942251907276,S
3,male,26,1,0,2.803360380906535,Q
2,male,23,0,0,2.775447133088262,C
1,male,44,2,0,4.51085950651685,Q
3,female,22,0,0,2.169053700369523,Q
3,female,9,2,2,3.5660053559634015,S
3,male,28,0,0,2.1855792552411137,S
3,male,24,0,0,2.1855792552411137,S
3,male,26,8,2,4.256321678298823,S
3,male,24,0,0,2.3513752571634776,S
3,female,30,1,1,3.224857896545748,S
1,female,22,0,2,3.9219733362813143,C
3,female,4,0,1,2.668387256845834,C
3,male,24,0,0,2.2027647577118348,S
1,male,47,0,0,3.970291913552122,S
3,male,26,1,0,3.224857896545748,Q
3,male,26,0,0,4.05171190165724,S
3,male,26,0,0,2.246892662898172,Q
2,male,18,0,0,2.5257286443082556,S
3,male,33,0,0,2.267393053825037,S
3,male,24,0,0,2.0856720914304723,S
2,female,13,0,1,3.0204248861443626,S
2,female,27,1,0,3.091042453358316,S
3,female,45,0,1,2.737880811060884,C
3,female,23,0,0,2.145931282948669,S
1,male,27,0,2,5.358941988364472,C
3,female,41,0,2,3.0545906305603445,S
3,male,27,0,0,2.174274334826008,S
2,male,31,1,1,3.305053521109253,S
3,male,16,1,3,3.5660053559634015,S
3,female,11,4,2,3.4742929367327062,S
3,female,22,1,0,2.8390784635086144,S
3,male,26,1,1,2.7878344138303452,C
3,male,19,0,0,2.157559320943788,S
3,female,2,0,1,2.4390808375825834,S
3,female,19,0,0,2.1837114628556327,Q
1,male,19,3,2,5.575949103146316,S
3,male,22,0,0,2.302585092994046,S
2,female,24,2,3,2.9831534913471307,S
3,female,20,1,0,2.3818582738885534,S
3,male,18,0,0,2.2027647577118348,S
3,male,32,0,0,2.1855792552411137,S
2,female,6,0,1,3.5263605246161616,S
2,female,40,1,1,3.6888794541139363,S
3,male,21,0,0,2.8390784635086144,S
3,male,26,0,0,2.061570298060867,Q
3,male,24,1,0,2.8390784635086144,S
1,male,43,0,0,3.4339872044851463,S
3,female,27,0,2,2.495953738718064,S
3,male,26,1,0,2.737880811060884,C
3,male,39,0,0,2.188856327665703,S
1,male,24,0,1,5.515526544247129,C
1,male,35,0,0,3.3064287218760624,S
3,male,32,1,0,2.8243506567983707,S
1,male,31,0,0,3.941500250945973,S
